"","lh_superiorparietal_lh_precentral","Left_Putamen_lh_precentral","rh_superiorparietal_rh_precentral","lh_precentral_rh_precentral","Right_Putamen_rh_precentral","lh_precentral_lh_postcentral","lh_superiorparietal_lh_postcentral","rh_precentral_rh_postcentral","rh_superiorparietal_rh_postcentral","Left_Thalamus_Proper_lh_superiorparietal","lh_superiorparietal_rh_superiorparietal","Right_Caudate_rh_superiorparietal","Left_Caudate_Left_Thalamus_Proper","Left_Pallidum_Left_Thalamus_Proper","Left_Pallidum_Left_Putamen","Right_Pallidum_Right_Putamen","Right_Pallidum_Right_Caudate","Left_Thalamus_Proper_Right_Caudate","Left_Caudate_Right_Caudate"
"71684",0.0924894867789722,0.162100679076705,0.0784449526370176,0,0.070456533486428,0.0192148183783545,0.0129785289076859,0.0114490232974642,0.0166617453563275,0.131472429221562,6.08708759259915e-05,0.168264097901707,0.0175191200359229,0.00144608418172456,0.00214561867367756,0.00330646626206336,0.0259776180683032,0.00994121803148814,0.0305925657002123
"72757",0.218912311020573,0.417205082335363,0.231090824775758,0,0.420094639493391,0.0499554898876993,0.0443687946890131,0.025758680087972,0.0314628976634989,0.387667885316861,0.00065267663825902,0.408500707501529,0.0266826164417037,0.0115659139297825,0.0215524695861183,0.0135048556988014,0.0576711054026981,0.0226384056565522,0.0633277964970411
"72817",0.177379097830526,0.205030318930491,0.140042660875486,0,0.168560893600871,0.0318731280181673,0.0123824845950192,0.0161287677141857,0.0141767062028238,0.247337245971988,0.000327634692735135,0.225714933974564,0.0370956721321139,0.0666471462925302,0.0232010205099771,0.012178906293801,0.0307426364154248,0.0246639641272995,0.05561247085913
"72926",0.113252975473618,0.0480224509893873,0.0535375042419727,0,0.0260050353333075,0.00467593287161649,0.0186714714716652,0.00181874205802742,0.00828671993901069,0.154518476142551,5.2577969047155e-05,0.102117565022824,0.00057676054860697,9.09999921849281e-05,0.00025494357995934,0.00102068751215002,0.0103881436566676,0.00473725792831555,0.00367845546917087
"72951",0.099820296930016,0.110109664717112,0.220859176579449,0,0.120837911384413,0.00714746084946019,0.0111484082468588,0.0164118783298555,0.044437050842301,0.166307862960965,0.00235684224233576,0.233815195318368,0.0199647443320481,0.0164682824065149,0.000812376155855946,0.00175614183929837,0.0115814870322299,0.0976104481306144,0.0700510055884527
"73047",0.156809397266527,0.287158874614737,0.188743607681648,0.00128230284833463,0.185843892134817,0.0338692171082117,0.0417101403565439,0.0141457462707138,0.0301630615801613,0.186954932803984,0.00377908328082559,0.305048862907893,0.0206484769211915,0.0152910956154758,0.00959635403508761,0.00665707845172064,0.0205721548583235,0.0140897246679613,0.167042176547179
"73819",0.0872641067227339,0.0922729146478878,0.164834541122577,0,0.122316977470362,0.0106846191214405,0.00680170749885035,0.0141199036166216,0.0276913473505654,0.0548317721116581,9.33118363024385e-05,0.217329513368236,0.0159872212630269,0.00426274302319111,0.000893243762015386,0.00216480186299637,0.0143512622400937,0.0157806574213743,0.0291588389628053
"77657",0.11496877341788,0.179952189178002,0.130486221636566,0,0.079736411656674,0.00822107808671571,0.0111900391092994,0.00745390425835909,0.0332618333624244,0.187094579314887,4.46595559875777e-05,0.27216237675143,0.0322219214849305,0.0167402319734723,0.00326144324201569,0.001935015426554,0.0143093216264165,0.00567180904973679,0.0116160190616333
"77949",0.182120325982115,0.252314416906358,0.134844126715807,0,0.186365067063317,0.0131679859062024,0.0271072335216669,0.00589929351147798,0.0217710222936544,0.252923315780263,7.89605704612116e-05,0.223201903932774,0.079788413706949,0.0122771393307205,0.00539350324168637,0.00733779974704985,0.0471839051782328,0.0306246484575144,0.0568243349212157
"78203",0.0641696539292648,0.0766238321033464,0.183283683004466,0,0.148434831864009,0.0137273047313019,0.015453315620855,0.0198578899719688,0.0198436350535429,0.0799222545587245,4.86610327367108e-05,0.161079446302103,0.00794501699952802,0.00299973574822063,0.000338728810205998,0.00141041467566912,0.00601515245606296,0.0307564038725463,0.00600515098325343
